rev,mou,totmrc,da,ovrmou,ovrrev,vceovr,datovr,roam,change_mou,change_rev,drop_vce,drop_dat,blck_vce,blck_dat,unan_vce,unan_dat,plcd_vce,plcd_dat,recv_vce,recv_sms,comp_vce,comp_dat,custcare,ccrndmou,cc_mou,inonemin,threeway,mou_cvce,mou_cdat,mou_rvce,owylis_vce,mouowylisv,iwylis_vce,mouiwylisv,peak_vce,peak_dat,mou_peav,mou_pead,opk_vce,opk_dat,mou_opkv,mou_opkd,drop_blk,attempt,complete,callfwdv,callwait,months,uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,Customer_ID
30.835,136.75,29.99,0.2475,1.25,0.5,0.5,0.0,0.0975,48.25,1.155,2.0,0.0,10.33333333,0.0,13.33333333,0.0,66.0,0.0,3.333333333,0.0,40.66666667,0.0,1.333333333,1.333333333,0.896666667,0.666666667,0.333333333,71.74666667,0.0,5.406666667,1.333333333,0.713333333,0.333333333,0.473333333,30.0,0.0,54.5,0.0,13.66666667,0.0,22.65333333,0.0,12.33333333,66.0,40.66666667,0.0,0.0,7,1,1,U,AA,N,393,958.0,248.46,182.94,958.0,393,30.49,159.67,65.5,121,52,30,160.0,66.0,31.0,C,ATLANTIC SOUTH AREA,Y,N,149.9899902,1.0,1.0,WCMB,0.0,0.0,R,,M,M,1.0,M,3.0,,C,,1.0,U,U,U,U,U,U,Y,216.0,1090001
35.8475,352.75,24.27,0.495,23.25,9.285,8.7,0.585,1.8,-352.75,-35.8475,9.0,0.0,0.0,0.0,10.0,0.0,82.66666667,1.0,31.0,0.0,65.33333333,1.0,3.666666667,9.0,5.89,18.33333333,1.333333333,98.54333333,1.023333333,83.66666667,15.66666667,12.68333333,1.333333333,14.28666667,38.0,0.0,106.9266667,0.0,43.66666667,1.0,75.28333333,1.023333333,9.0,83.66666667,66.33333333,0.0,1.333333333,7,1,1,U,EA,Y,1641,4011.0,391.87,305.59,3998.0,1634,50.93,666.33,272.33,470,181,48,666.0,272.0,51.0,C,NORTHWEST/ROCKY MOUNTAIN AREA,T,N,99.98999023,2.0,1.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,N,U,U,U,U,U,N,101.0,1090002
30.3275,241.5,39.99,0.0,0.0,0.0,0.0,0.0,0.0,-86.5,0.8625,2.0,0.0,4.666666667,0.0,20.66666667,0.0,85.33333333,0.0,26.66666667,0.0,59.33333333,0.0,4.333333333,6.333333333,4.466666667,17.0,1.666666667,143.53,0.0,27.37333333,9.666666667,3.76,19.66666667,21.73666667,48.66666667,0.0,76.35666667,0.0,36.0,0.0,94.54333333,0.0,6.666666667,85.33333333,59.33333333,0.0,0.333333333,9,2,2,Y,A,N,780,1889.0,312.91,219.45,1772.0,734,31.35,253.14,104.86,270,107,30,273.0,109.0,31.0,T,CENTRAL/SOUTH TEXAS AREA,N,N,129.9899902,1.0,1.0,WCMB,1.0,0.0,O,13.0,S,M,3.0,M,6.0,1.0,C,A,0.0,N,U,U,U,U,U,Y,262.0,1090003
154.6925,2297.0,149.99,4.7025,0.0,0.0,0.0,0.0,0.0,119.0,0.2475,20.33333333,0.0,5.0,0.0,329.3333333,0.0,1067.0,0.0,628.0,0.0,723.0,0.0,0.333333333,0.666666667,0.376666667,408.0,0.0,769.1366667,0.0,679.02,271.0,167.09,68.66666667,150.6566667,723.0,0.0,961.7366667,0.0,346.0,0.0,486.42,0.0,25.33333333,1067.0,723.0,0.0,8.333333333,11,1,1,U,AA,N,9018,18478.0,2217.05,2131.17,18478.0,9018,213.12,1847.8,901.8,2257,1045,155,2452.0,1171.0,278.0,S,ATLANTIC SOUTH AREA,N,R,79.98999023,2.0,1.0,WCMB,0.0,0.0,O,3.0,S,U,3.0,M,6.0,1.0,,A,0.0,S,U,U,U,U,U,Y,127.0,1090004
156.005,542.25,48.9475,0.7425,70.75,28.295,28.1,0.195,0.0,195.75,40.015,5.666666667,0.333333333,0.666666667,0.0,46.33333333,0.0,167.6666667,0.666666667,11.33333333,0.0,115.0,0.333333333,21.66666667,48.0,31.34666667,10.0,0.333333333,343.0666667,0.01,11.24333333,13.0,14.56333333,1.333333333,2.1,91.0,0.0,205.2166667,0.0,31.0,0.333333333,149.0966667,0.01,6.666666667,168.3333333,115.3333333,0.0,0.666666667,9,1,1,U,CA,Y,791,2601.0,879.51,608.66,2601.0,791,86.95,371.57,113.0,477,130,143,349.0,103.0,91.0,U,LOS ANGELES AREA,Y,N,149.9899902,2.0,1.0,WCMB,0.0,0.0,O,1.0,,S,1.0,M,6.0,1.0,C,,0.0,N,U,U,U,U,U,Y,37.0,1090005
30.38,162.75,39.99,0.0,1.0,0.39,0.0,0.39,0.0,-0.75,0.0,4.333333333,0.0,0.333333333,0.0,14.33333333,0.0,77.66666667,1.666666667,20.0,0.0,60.66666667,1.666666667,0.0,0.0,0.0,12.33333333,0.0,86.97,0.106666667,14.02666667,8.0,5.033333333,0.0,0.0,50.33333333,1.666666667,68.46333333,0.106666667,22.66666667,0.0,32.53333333,0.0,4.666666667,79.33333333,62.33333333,0.0,0.666666667,9,1,1,U,AA,N,736,1409.0,359.75,294.23,1400.0,732,36.78,175.0,91.5,163,71,30,173.0,86.0,39.0,U,CALIFORNIA NORTH AREA,T,N,99.98999023,2.0,2.0,WCMB,0.0,0.0,O,4.0,S,M,2.0,M,7.0,,I,A,0.0,N,Y,U,U,U,U,Y,194.0,1090006
11.7325,974.25,10.0,1.7325,0.0,0.0,0.0,0.0,0.0,-98.25,0.2475,22.33333333,0.0,2.333333333,0.0,42.0,0.0,297.0,0.0,143.0,0.0,239.0,0.0,3.333333333,15.33333333,13.06,72.66666667,0.0,472.55,0.0,259.69,98.66666667,130.0766667,50.66666667,129.9866667,148.0,0.0,247.13,0.0,189.3333333,0.0,485.11,0.0,24.66666667,297.0,239.0,0.0,5.666666667,11,2,2,U,AA,N,3576,9682.0,288.77,243.6,9656.0,3568,24.36,965.6,356.8,1007,337,12,1054.0,372.0,14.0,T,ATLANTIC SOUTH AREA,T,N,99.98999023,1.0,1.0,WCMB,0.0,0.0,,,,B,1.0,M,,,A,,0.0,N,U,U,U,U,U,N,323.0,1090007
34.99,229.5,44.99,0.0,0.0,0.0,0.0,0.0,0.0,-26.5,0.0,0.666666667,0.0,2.333333333,0.0,24.0,0.0,88.66666667,0.0,37.33333333,0.0,62.0,0.0,1.666666667,10.0,9.26,19.66666667,0.0,100.2733333,0.0,72.38333333,9.666666667,6.48,10.0,18.14666667,64.66666667,0.0,118.81,0.0,34.33333333,0.0,53.84666667,0.0,3.0,88.66666667,62.0,0.0,0.0,9,1,1,U,AA,N,701,1625.0,352.82,282.21,1625.0,701,35.28,203.13,87.63,238,94,35,214.0,88.0,35.0,S,SOUTH FLORIDA AREA,N,N,129.9899902,1.0,1.0,WCMB,0.0,0.0,O,6.0,S,S,4.0,M,6.0,2.0,C,A,0.0,H,U,U,U,U,U,Y,262.0,1090008
70.7775,639.25,38.335,0.495,58.0,23.2,23.2,0.0,0.0,354.75,8.9025,8.0,0.0,10.0,0.0,115.3333333,0.0,404.6666667,0.0,77.33333333,0.0,272.0,0.0,16.33333333,65.33333333,57.28333333,39.0,0.0,605.7933333,0.0,148.0233333,48.66666667,52.20666667,30.33333333,61.61333333,198.3333333,0.0,417.8733333,0.0,150.3333333,0.0,335.9366667,0.0,18.0,404.6666667,272.0,0.0,4.666666667,11,1,1,N,DA,Y,1828,4399.0,664.58,553.21,3728.0,1501,79.03,532.57,214.43,521,178,68,471.0,178.0,71.0,C,MIDWEST AREA,Y,N,149.9899902,2.0,1.0,WCMB,0.0,0.0,,,,U,,,,,,,0.0,N,U,U,U,U,U,N,94.0,1090009
93.485,1021.0,94.99,0.495,0.0,0.0,0.0,0.0,0.0,172.0,-0.495,8.333333333,0.0,4.666666667,0.0,29.33333333,0.0,283.0,3.0,99.66666667,0.0,243.6666667,3.0,0.0,0.0,0.0,32.66666667,0.0,535.2366667,9.273333333,213.9633333,25.0,33.05,5.666666667,16.93666667,218.6666667,2.0,521.0533333,8.056666667,121.6666667,1.0,228.1466667,1.216666667,13.0,286.0,246.6666667,0.0,1.0,7,1,1,U,AA,N,1835,5432.0,952.59,877.98,5432.0,1835,146.33,905.33,305.83,964,332,94,905.0,306.0,146.0,R,DALLAS AREA,Y,N,199.9899902,1.0,1.0,WCMB,0.0,0.0,O,2.0,,U,2.0,M,7.0,2.0,C,,0.0,S,U,U,U,U,U,Y,216.0,1090010
